텍스트 ID,이름,텍스트,이벤트 ID,반복 여부,이동 지점
1,안나,왜 그러지?,1,,
2,게롤트,전하' 외람되지만... 단델라이온과 어떻게 만나셨는지 말씀해 주실 수 있으십니까?,,,
,,혹시 예민한 주제라면 말하지 않으셔도 됩니다.,,,
3,안나,아. 오래된 이야기야... 아버지께서 개최한 대 토너먼트에 줄리안이 초대받았거든. 용맹한 투쟁에 관한 노래를 쓰기로 했지.,,,
,,그건 내가 들어 본 사랑의 발라드 중에 가장 아름다웠어. 하하. 화가 난 아버지는 보수를 지불하지 않으셨지.,,,
4,게롤트,그건... 전하께 바친 노래였습니까?,,,
5,안나,노골적이진 않았어. 당시에 난 레이먼드의 아내였으니까.,,,
6,게롤트,흠. 그렇군요.,,1,
7,게롤트,이 토너먼트는 규모가 상당히 큰 행사이군요.,,,
8,안나,우리의 소중한 전통이야. 내 증조모이신 아델라 마르타가 일구어낸 것이지... 할머님은 아주 오랫동안 누구와 고민할지 고민하셨는데'\n그때 있던 수많은 구혼자가 서로 결투를 벌이곤 했거든.,,,
,,할머님은 그 결투로 수많은 남편 후보 중에서 최고를 찾아낼 수 있을 거라고 보셨어. 할머님이 가장 중요하게 여기는 힘과 용기' 교묘함을\n 가진 자를 가려낼 수 있었으니까.,,,
,,그래서 구혼자들에게 토너먼트를 치르게 하셨네. 근데 결국 누구도 선택하지 않고 남쪽을 여행하던 중에 만난 닐프가드 황제의\n막내아들과 결혼하셨지.,,,
9,게롤트,그렇게 기사들의 결투를 즐기기 시작하게 된 거군요.,,,
10,안나,바로 그거야! 그뿐만이 아니라 그다음 해에는 각지에서 온 수많은 기사가 실력을 겨루고 영광을 얻기 위해 참전했지. 그렇게 전통이\n시작된 거야. 물론 이제는 우승한다고 공작부인과 공국 절반을 얻을 순 없지만...,,,
,,그래도 보끌레흐의 토너먼트는 전 세계적으로 유명하니까 자랑스러운 전통이지.,,1,
11,게롤트,투생이 어떻게 매번 전쟁을 피할 수 있는지 궁금합니다. 닐프가드 옆에 붙어 있으면서도 본격적인 침공은 커녕 국경에서 사소한 충돌조차\n일어나지 않더군요.,,,
12,안나,우리 기사들이 국경을 지키고 있는 데다 내 사촌인 에미르 바 엠레이스 황제가 약속대로 투생은 중립국으로 남겨 주었거든.,,,
,,나도 황제의 투쟁심을 가라앉히기 위해 여러 번 설득해 보려고 했어. 그런데 안타깝게도 에미르 황제는 내 간청을 들어주지 않더군.\n정말이지 세상이 통탄할 일이야.,,,
13,게롤트,정말 통탄할 일이군요.,,1,
14,게롤트,시간 내주셔서 감사합니다.,,,
15,안나,할 일이 있나?,,,
16,게롤트,그렇습니다.,,,
17,안나,알겠다. 그럼 그리하거라.,,0,
